x	y	OBJECTID	NAME_OF_SITE	ADDRESS	ZIP	PHONE
-75.181162	39.965801	1	Philadelphia Museum of Art	2600 Benjamin Franklin Pkwy	19130	215-763-8100
-75.172626	39.958139	2	Franklin Institute	222 N 20th St	19103	215-448-1200
-75.173991	39.961965	3	Rodin Museum	2151 Benjamin Franklin Pkwy	19130	215-763-8100
-75.172590	39.960519	4	Barnes Foundation	2025 Benjamin Franklin Pkwy	19130	215-278-7200
-75.148452	39.950206	5	National Museum of American Jewish History	101 S Independence Mall E	19106	215-923-3811
-75.191329	39.949260	6	Penn museum	3260 South St	19104	215-898-4000
-75.171292	39.956826	7	Academy of Natural Sciences	1900 Benjamin Franklin Pkwy	19103	215-299-1000
-75.151738	39.953318	8	African American Museum	701 Arch St	19106	215-574-0380
-75.163455	39.955624	9	Pennsylvania Academy of the Fine Arts	118-128 N Broad St	19102	215-972-7600
-75.176637	39.953201	10	M¨¹tter Museum	19 S 22nd St	19103	215-560-8564
-75.214329	39.980366	11	Please Touch Museum	4231 Avenue of the Republic	19131	215-581-3181
-75.137636	40.038945	12	Cherashore Playground	10th & Chew Ave 	19141	215-685-2897
-75.151922	39.950239	13	Philadelphia History Museum	15 S 7th St	19106	215-685-4830
-75.174968	39.947478	14	Rosenbach Museum & Library	2008 Delancey Pl	19103	215-732-1600
-75.172720	39.968328	15	Eastern State Penitentiary	2027 Fairmount Ave	19130	215-236-3300
-75.140422	39.945752	16	Independence Seaport Museum	211 South Christopher Columbus Boulevard	19106	215-413-8655
-75.181012	39.905999	17	American Swedish Historical Museum	1900 Pattison Ave	19145	215-389-1776
-75.195060	39.954310	18	Institute of Contemporary Art	118 S 36th St	19104	215-898-5911
-75.219449	40.083151	19	Woodmere Art Museum	9201 Germantown Ave	19118	215-247-0476
-75.160242	39.953707	20	The Fabric Workshop and Museum	1214 Arch St	19107	215-561-8888
-75.162908	39.980591	21	Wagner Free Institute of Science	1700 W Montgomery Ave	19121	215-763-6529
-75.026367	40.042510	22	Insectarium	8046 Frankford Ave	19136	215-338-3000
-75.154013	40.025584	23	Stenton	4601 N 18th St	19140	215-329-7312
-75.162682	39.947780	24	Historical Society of Pennsylvania	1300 Locust St	19107	215-732-6200
-75.172315	40.033675	25	Germantown White House	5442 Germantown Ave	19144	215-965-2305
-75.181231	40.048075	26	Cliveden	6401 Germantown Ave	19144	215-848-1777
-75.187873	39.993167	27	Woodford Mansion	2300 N 33rd St	19132	215-229-6115
-75.168447	40.032058	28	Grumblethorpe	5267 Germantown Ave	19144	215-843-4820
-75.117079	40.092280	29	Abington Art Center	515 Meetinghouse Rd	19046	215-887-4882
-75.144751	39.953350	30	The Center for Art in Wood	"141 N 3rd St, Philadelphia, PA 19106"	19106	215-923-8000
-75.209764	39.986266	31	Centennial Arboretum	Montgomery Dr	19131	215-685-0096
-75.128097	39.980675	32	Pizza Brain	2313 Frankford Ave, Philadelphia, PA 19125	19125	215-291-2965
