x,y,OBJECTID,NAME_OF_SITE,ADDRESS,ZIP,PHONE
-75.193847,39.953289,1,University of Pennsylvania,3451 Walnut Stree,19104,215-898-5000
-75.157868,39.981067,2,Temple University,1801 N. Broad St,19122,215-204-7000
-75.186903,39.954102,3,Drexel University,3141 Chestnut St,19104,215-895-2000
-75.239443,39.993829,4,Saint Joseph's University,5600 City Ave,19131,610-660-1000
-75.153842,40.039064,5,La Salle University,1900 W Olney Ave,19141,215-951-1000
-75.165618,39.945975,6,The University of the Arts,320 S Broad St,19102,215-717-6000
-75.228609,40.086672,7,Chestnut Hill College,9601 Germantown Ave,19118,215-248-7001
-75.163455,39.955624,8,Pennsylvania Academy of the Fine Arts,118-128 N Broad St,19102,215-972-7600
-75.208133,39.946544,9,University of the Sciences in Philadelphia,600 S 43rd St,19104,215-596-8800
-75.170444,39.948764,10,Curtis Institute of Music,1726 Locust St,19103,215-893-5252
-75.193316,39.953616,11,University of Pennsylvania Law School,3501 Sansom St,19104,215-898-7483
-75.171911,39.957206,12,Moore College of Art & Design,1916 Race St,19103,215-965-4000
